Region,Sub-Region,Transmission Station,Sub-Station
Lagos,Akangba Sub-Region,Akangba 330/132kV substation,Ojo 132/33kV substation
Lagos,Ikeja-West Sub-Region,Ikeja-West 330/132kV substation,Ikeja West 132/33kV substation
Lagos,Ikeja-West Sub-Region,Ikeja-West 330/132kV substation,Ayobo 132/33kV substation
Lagos,Ikeja-West Sub-Region,Ikeja-West 330/132kV substation,Alimosho 132/33kV substation
Lagos,Ikeja-West Sub-Region,Ikeja-West 330/132kV substation,Ogba 132/33kV substation
Lagos,Ikeja-West Sub-Region,Ikeja-West 330/132kV substation,Alausa 132/33kV substation
Lagos,Ikeja-West Sub-Region,Ikeja-West 330/132kV substation,Ejigbo 132/33kV substation
Lagos,Ikeja-West Sub-Region,Ikeja-West 330/132kV substation,Agbara 132/33kV substation
Lagos,Ikeja-West Sub-Region,Oke-Aro 330/132kV substation,Oke-Aro 132/33kV substation
Lagos,Papalanto Sub-Region,Olorunsogo 330/132kV substation 1,Papalanto 132/33kV substation
Lagos,Papalanto Sub-Region,Olorunsogo 330/132kV substation 1,Otta 132/33kV substation
Lagos,Papalanto Sub-Region,Olorunsogo 330/132kV substation 2,Abeokuta 132/33kV substation
Lagos,Papalanto Sub-Region,Olorunsogo 330/132kV substation 2,New Abeokuta 132/3kV Substaion
Lagos,Egbin Sub-Region,Egbin 330/132kV substation,Egbin 132kV substation
Lagos,Egbin Sub-Region,Egbin 330/132kV substation,Ikorodu 132/33kV substation
Lagos,Egbin Sub-Region,Egbin 330/132kV substation,Odogunyan 132/33kV substation
Lagos,Egbin Sub-Region,Egbin 330/132kV substation,Maryland 132/33kV substation
Lagos,Aja Sub-Region,Aja 330/132kV substation,Aja 132/33kV substation
Lagos,Aja Sub-Region,Lekki 330/132kV substation,Lekki 132/33kV substation
Lagos,Aja Sub-Region,Alagbon 330/132kV substation,Alagbon 132/33kV substation
Lagos,Aja Sub-Region,Alagbon 330/132kV substation,Akoka 132/33kV substation
Lagos,Aja Sub-Region,Alagbon 330/132kV substation,Oworosoki 132/33kV substation
Lagos,Aja Sub-Region,Alagbon 330/132kV substation,Amuwo-Odofin 132/33kV substation
Lagos,Aja Sub-Region,Alagbon 330/132kV substation,Apapa Rd 132/33kV substation
,,,
Osogbo,Osogbo Sub-region,Osogbo 330/132/33KV T/S,Osogbo 132/33kV S/S
Osogbo,Osogbo Sub-region,Osogbo 330/132/33KV T/S,Ofa  132/33kV S/S
Osogbo,Osogbo Sub-region,Osogbo 330/132/33KV T/S,Ilesha 132/33kV S/S
Osogbo,Osogbo Sub-region,Osogbo 330/132/33KV T/S,Ife 132/33kV S/S
Osogbo,Ayede Sub-region,Ayede 330/132/33KV T/S,Ayede 132/33kV S/S
Osogbo,Ayede Sub-region,Ayede 330/132/33KV T/S,Jericho 132/33kV S/S
Osogbo,Ayede Sub-region,Ayede 330/132/33KV T/S,Ibadan North 132/33kV S/S
Osogbo,Ayede Sub-region,Ayede 330/132/33KV T/S,Iwo 132/33kV S/S
Osogbo,Ayede Sub-region,Ayede 330/132/33KV T/S,Iseyin 132/33kV S/S
Osogbo,Ayede Sub-region,Ayede 330/132/33KV T/S,Ijebu-ode 132/33kV S/S
Osogbo,Ayede Sub-region,Ayede 330/132/33KV T/S,Sagamu 132/33kV S/S
Osogbo,Ayede Sub-region,Ayede 330/132/33KV T/S,Eleyele 132kV S/S
Osogbo,Ayede Sub-region,Ayede 330/132/33KV T/S,Sapade 132kv S/S
Osogbo,Ayede Sub-region,Ayede 330/132/33KV T/S,UI 132kV S/S
Osogbo,Ayede Sub-region,Ayede 330/132/33KV T/S,Oyo 132kV S/S
Osogbo,Ayede Sub-region,Ayede 330/132/33KV T/S,Mcpherson 132/33kV S/S
Osogbo,Akure W/C,Ayede 330/132/33KV T/S,Ado-Ekiti 132/33kV S/S
Osogbo,Akure W/C,Ayede 330/132/33KV T/S,Akure 132/33kV S/S
Osogbo,Ganmo Sub-region,Ganmo 330/132/33KV T/S,Ganmo 132/33kV S/S
Osogbo,Ganmo Sub-region,Ganmo 330/132/33KV T/S,Ilorin 132/33kV S/S
Osogbo,Ganmo Sub-region,Ganmo 330/132/33KV T/S,Omuaran 132/33kV S/S
,,,
Port Harcourt,Port Harcourt Sub-region,Onne 330KV T/S,Port Harcourt Main 132KV T/S
Port Harcourt,Port Harcourt Sub-region,Onne 330KV T/S,Port Harcourt Town 132KV T/S
Port Harcourt,Port Harcourt Sub-region,Onne 330KV T/S,Elelenwon 132KV T/S
Port Harcourt,Port Harcourt Sub-region,Onne 330KV T/S,Rumuosi 132KV T/S
Port Harcourt,Port Harcourt Sub-region,Onne 330KV T/S,Yenagoa 132KV T/S
Port Harcourt,Port Harcourt Sub-region,Onne 330KV T/S,Gbarain 132KV T/S
Port Harcourt,Port Harcourt Sub-region,Onne 330KV T/S,Ahoada 132KV T/S
